UT San Antonio,UT San Antonio Alanis & Ok,UT San Antonio Alegria & War,UT San Antonio Nation & Pa,UT San Antonio Pleitez & Mora,UT San Antonio Rakestraw & Woep,UTSA,UTSan,UTSan Colwell & Robert,UTSan Gittens & Golds,UTSan Elizondo & Gr,UTSan Morales & Plei,UTSanAntonio,,,,,,,,,,,,,,,,,,,,,,
United States Military,UniSta,UniSta Caston & Min,UniSta H,UniSta O,United States Militar,United States Military Bryant & Bar,United States Military McGovern & Spi,Army,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah State University Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,Vander Link &,Vander Lin & ,Vander Kohlmaier & New,Vander Kohlmaier & Co,Vander James & Remi,Vander,VanU,Vanderbilt - Bilgi and Mitch,Vanderbilt - Carlos Calderon Gom and Pa,Vanderbilt - Rehman and Z,Vanderbilt - Stothers and Willif,Vandy,Vandy J,,,,,,,,,,,,,,,,,,,,,
Vermont,UVM,Vermon,Verm,Vermont Brough  ,Vermt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgina Tech,VA Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Forest,Wake For,Wake ,Wake,WakFor geraghty & Kl,WakFor Gonzalez & Shap,WakFor,Wake Forest - Bailey and ,Wake Forest - Clifford and Vi,Wake Forest - Crowe and Le,Wake Forest - Duff and La,Wake Forest - Hurwitz and Qu,Wake Forest Duff & La,Wake Forest LeDuc & Washing,Wake Forest Lopez & McC,Wake Forest Min & Qu,Wake Forest Mitchell & S,Wake Forest Quinn & ,Wake Forest Quinn & Hurw,Wake Forest S,Wake Forest Shaw & Manches,Wake Forest Stirrat & Vi,Wake Forest Sugino & Cro,WakeF,WakeForest,,,,,,,,,,
WashStLouis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wash U,UW Kunsay  Tas,UW Fischer  ,WasUni,WashU,Washington,Washto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne State,JV Wayne State,Wayne St,Wayne,WaySta Matmanivong  Ibra,WaySta Jancek & Reyno,WaySta Haynes  Jayyo,WaySta Haran & Ma,WaySta Davis & Hu,WaySta Curtiss & Hu,WaySta Anton & Willi,WaySta Anton & Da,WaySta,Wayne State - Black and Brund,Wayne State - Brundage and Schim,Wayne State - Collins and Dun,Wayne State - Dodson and Na,Wayne State - Justice and S,Wayne State - Leap and Mess,Wayne State Davis & Hu,Wayne State Davis & R,Wayne State Doug Husic & Kristina Curt,Wayne State Husic & Ma,Wayne State Justice & S,Wayne State Katrail Davis & Jenny An,Wayne State Nagel & S,Wayne State Nagel & Wi,WayneState,,,,,,,
Weber State,Weber St,Weber R,Weber,WebSta,Weber State Alvarado & Sha,Weber State Auro & Mug,Weber State Baker & Ra,Weber State Bergen & Hei,Weber State Butterfield & Sho,Weber State Chadwick & Sanc,Weber State Gaither & Mora,Weber State Gaither & Tipp,Weber State Greenwell & Wineh,Weber State Hall & Hens,Weber State Hall & Ra,Weber State Hall & Vee,Weber State Hendricks & Tipp,Weber State Hislop & Orq,Weber State Johnson & Steph,Weber State McPherson & Mounar,Weber State Olsen & Gait,Weber State Olsen & Vee,Weber State Raso & Wil,Weber State Soper & Shackelf,Weber State Thiede & Wil,WeberSt,,,,,,,,
West Conn,WCSU,WesCon,WestConn,WesternConn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Georgia,WesGeo,WGC,WGA,West Ga,West Georgia Ard & Muham,West Georgia Gaius & Rob,West Georgia Jordan & Tahmasi,WestGa,WestGA,WestGeorgia,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,WVU,WesVir,West VA,West Virginia - Orteza and Russ,West Virginia Abe & Fi,West Virginia Dorsey & Ejimo,West Virginia Orteza & Russ,West Virginia Pruden & Guirg,WestVa,WestVirginia,Western Connecticut State,Western Connect,,,,,,,,,,,,,,,,,,,,,,
Western Washington,Western Washington Johnson & Ste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitman College,Whitman,Whit,WhiCol,Whitman College Anderson & Bar,Whitman College Anderson & Newm,Whitman College Durand & Mul,Whitman College Hauck & Koch,Whitman College Kochman & Thomp,Whitman College Lassiter & Dur,Whitman College Lassiter & Thomp,Whitman College Menzies & Bar,,,,,,,,,,,,,,,,,,,,,,,
Wichita State,Wichita St,Wichita,WicSta,WicSt,Wichita State Crane & We,Wichita State Lefler & El,Wichita State McCorkendale & ,Wichita State McFarland & O'Donn,Wichita State Michelle Sherrow & Trinity We,Wichita State O'Donnell & Saund,Wichita State Saunders & We,WichitaState,,,,,,,,,,,,,,,,,,,,,,
Wilkes,Wilke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin- Madison,WisMad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Wyomin,Wyoming Berry & Cul,Wyoming Culver & Be,Wyoming Dilldine & McFarl,Wyoming Graziano & Jo,Wyoming Henman & Thomson-Lic,Wyoming Marcum & McFarl,Wyoming Marcum & Pa,,,,,,,,,,,,,,,,,,,,,,,,,,
